Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
万科七宝国际,"(闵行七宝)新龙路1333弄, 新龙路1373号, 新龙路1353号, 中春路8633弄",5.01E+12,1993年建成,板楼,4.7元/平米/月,上海万科物业管理有限公司,上海东苑美墅置业有限公司,46栋,3467户
美源公寓,(普陀曹杨)梅岭北路35弄,5.01E+12,1999年建成,板楼,2元/平米/月,自主物业,上海国发梅源企业发展有限公司,4栋,42户
瑞虹新城怡庭,"(虹口临平路)瑞虹路233弄, 瑞虹路233弄8号, 瑞虹路233弄7号",5.01E+12,2004年建成,板楼,6至6.08元/平米/月,上海丰城物业有限公司,上海瑞虹新城有限公司,9栋,697户
西郊庄园马德里洋房,(闵行华漕)金丰路777弄,5.01E+12,2014年建成,塔楼/板楼,6.6元/平米/月,上海西郊庄园物业管理有限公司,上海西郊庄园房地产开发有限公司,22栋,710户
金巢铂瑞阁,(徐汇斜土路)合宝路18号,5.01E+12,2015年建成,塔楼,8元/平米/月,上海同进物业服务有限公司,上海新融置业发展有限公司,2栋,422户
九龙仓兰廷,(浦东周浦)祝家港路399弄,5.01E+12,2016年建成,板楼,2.9至3元/平米/月,九龙仓物业管理有限公司,上海清源房地产开发有限公司,26栋,994户
万科翡翠雅宾利,(静安西藏北路)中华新路199弄,5.01E+12,2000年建成,塔楼/板楼,4.8元/平米/月,上海万科物业服务有限公司,上海硕诚置业有限公司,24栋,987户
嘉天汇,(静安静安寺)新闸路1999弄,5.01E+12,2000年建成,板楼,14.8元/平米/月,第一太平戴维斯,上海嘉申房地产开发经营有限公司,10栋,440户
中山润园,(普陀武宁)凯旋北路1888弄,5.01E+12,2015年建成,板楼,4.3元/平米/月,狮城怡安（上海）物业管理有限公司,上海磐润置业有限公司,10栋,374户
华侨城苏河湾(公寓),(静安西藏北路)山西北路88弄,5.01E+12,2013年建成,板楼,12.8至13元/平米/月,深圳华侨城物业服务公司,华侨城（上海）置地有限公司,2栋,191户
云锦东方锦园,(徐汇龙华)龙兰路399弄,5.01E+12,2016年建成,板楼,7.8元/平米/月,上海高力国际物业服务有限公司,上海东航置业有限公司,10栋,486户
南东路61号,(宝山罗店)南东路61号,5.01E+12,1996年建成,板楼,0.8元/平米/月,深圳市创展置地物业管理有限公司,上海罗南房地产有限公司,1栋,24户
工农四村星源公寓,(杨浦中原)工农四村1-45号,5.01E+12,1997年建成,板楼,0.8元/平米/月,良城物业,中星集团,45栋,562户
大华朗香花园(二期),(宝山上大)祁真路160弄,5.01E+12,1990年建成,板楼,1.96至2元/平米/月,大华集团上海物业管理有限公司,上海祁华房地产有限公司,36栋,573户
春江美庐(别墅),(宝山杨行)松兰路198弄,5.01E+12,2012年建成,板楼,2.98元/平米/月,绿城物业,上海佳辰房地产开发有限公司,136栋,136户
绿地海域笙晖(别墅),"(宝山杨行)杨泰路99弄,杨泰路55弄",5.01E+12,2004年建成,板楼,2.87元/平米/月,上海安得物业管理有限公司,上海旅游高等专科学校,657栋,806户
卫东新村,(浦东洋泾)卫东新村,5.01E+12,1977年建成,板楼,0.8元/平米/月,通立物业,潍坊开发有限公司,10栋,266户
盘古嘉德,(嘉定嘉定新城)洪德路1500弄,5.01E+12,2015年建成,板楼,3.2元/平米/月,港联物业服务（上海）有限公司,上海盘谷房地产有限公司,8栋,468户
光明D9空间,"(嘉定嘉定新城)天祝路377弄, 宝塔路138弄, 天祝路361号",5.01E+12,2011年建成,塔楼/板楼/平房,暂无信息,自主物业,上海锦如置业有限公司,13栋,2226户
石家街151弄,(浦东外高桥)石家街151弄,5.01E+12,1984年建成,板楼,0.45元/平米/月,暂无信息,暂无信息,2栋,40户
上实海上荟(公寓),(嘉定嘉定新城)双丁路69弄,5.01E+12,2014年建成,板楼,2.9元/平米/月,上实物业管理(上海)有限公司,上海嘉瑞房地产有限公司,5栋,340户
龙缘花园,"(宝山张庙)通河三村211-236号（东区）,通河三村238-249号（西区）",5.01E+12,2003年建成,板楼,0.6元/平米/月,绿地物业,远通房地产经营有限公司,38栋,470户
新普盛公寓,(宝山张庙)共江路112号,5.01E+12,2002年建成,板楼,0.9元/平米/月,上海宝房(集团)泗塘物业管理有限公司,泗塘物业开发有限公司,22栋,249户
双阳路507号,(杨浦控江路)双阳路507号,5.01E+12,1990年建成,板楼,0.6元/平米/月,四平物业,卫百辛集团,1栋,36户
宁武路501号,(杨浦周家嘴路)宁武路501号,5.01E+12,1989年建成,板楼,0.7元/平米/月,无,无,1栋,30户
许昌路1479弄,(杨浦鞍山)许昌路1479弄,5.01E+12,1980年建成,板楼,暂无信息,上海平凉物业管理有限公司,暂无信息,5栋,96户
鑫隆公寓,(杨浦东外滩)平凉路1157弄1-12号,5.01E+12,1996年建成,板楼,0.8元/平米/月,青隆海信,上海鑫隆房地产开发有限公司,12栋,144户
星海家园,(浦东曹路)海容路399弄,5.01E+12,2011年建成,板楼,1.11元/平米/月,上海浦东东龙物业有限公司,上海中星（集团）有限公司,13栋,1146户
许昌路1430号,(杨浦鞍山)许昌路1430号,5.01E+12,1987年建成,板楼,暂无信息,四平物业,物业和度娘都不知道开发商名称,1栋,30户
广中路554号,(虹口凉城)广中路554号,5.01E+12,1987年建成,板楼,0.44元/平米/月,上海广同物业有限公司,虹房置业,1栋,42户
中环国际公寓(二期),(宝山共康)大康路1079弄,5.01E+12,2015年建成,板楼,2.55元/平米/月,上海中环陆家嘴物业管理有限公司,上海康得利房地产经营有限公司,18栋,960户
建邦16区,"(虹口临平路)天宝路466弄, 天镇路277号",5.01E+12,1993年建成,板楼,2.6元/平米/月,上海振翔物业管理有限公司,上海瀛联置业有限公司,15栋,1590户
和田路421弄,(静安闸北公园)和田路421弄,5.01E+12,1991年建成,板楼,0.8元/平米/月,上海上安物业管理有限公司,上海和田投资有限公司,4栋,84户
民星路568弄,(杨浦中原)民星路568弄,5.01E+12,1997年建成,板楼,0.5元/平米/月,上海殷行物业管理有限公司,上海中元房产有限公司,4栋,60户
民星路406号,(杨浦中原)民星路406号,5.01E+12,1987年建成,板楼,0.5元/平米/月,上海殷行物业管理有限公司,上海中元房产有限公司,1栋,32户
五莲一小区,(浦东金桥)五莲路30弄,5.01E+12,1990年建成,塔楼/板楼,0.65元/平米/月,上海中星集团申城物业有限公司,上海新高桥开发有限公司,9栋,540户
李园一村,"(嘉定嘉定老城)李园一村, 李园一村82弄",5.01E+12,1986年建成,板楼,0.9至1元/平米/月,自主物业,嘉定房地产有限公司,94栋,1794户
闻喜路1202弄,(静安彭浦)闻喜路1202弄,5.01E+12,1992年建成,塔楼/板楼,0.8元/平米/月,上海北安物业管理有限公司,市建,9栋,249户
阳光水岸苑,(普陀桃浦)真南路3489弄,5.01E+12,2011年建成,塔楼/板楼,0.3至1.99元/平米/月,上海燎原物业有限公司,上海浩浦房地产发展有限公司,53栋,977户
国和路1007号,(杨浦中原)国和路1007号,5.01E+12,1996年建成,板楼,0.5元/平米/月,上海卫百辛(集团)有限公司,卫百辛集团,1栋,24户
平顺路721弄,(静安彭浦)平顺路721弄,5.01E+12,1990年建成,板楼,0.6元/平米/月,不夜城物业,彭浦房地产开发有限公司,15栋,174户
安居锦竹苑,(普陀桃浦)竹柳路50弄,5.01E+12,2013年建成,塔楼/板楼,1.44元/平米/月,上海绿安物业管理发展有限公司,上海安真房地产有限公司,13栋,1354户
四平路幸福村,(虹口曲阳)四平路幸福村,5.01E+12,1955年建成,板楼,0.8元/平米/月,上海虹达物业管理有限公司,虹房置业,52栋,1055户
永建路152弄,(浦东金桥)永建路152弄（佳林路941弄1支弄）,5.01E+12,1994年建成,板楼,0.6元/平米/月,上海伟发物业有限公司,上海伟发置业有限公司,6栋,72户
季景铭郡,(嘉定南翔)古猗园南路355弄,5.01E+12,2014年建成,板楼,2.7元/平米/月,狮城怡安（上海）物业管理有限公司,上海吉翔置业有限公司,36栋,1475户
水电路80弄,(虹口凉城)水电路80弄,5.01E+12,1957年建成,板楼,暂无信息,暂无信息,无,3栋,88户
海上国际,(杨浦鞍山)控江路2068号,5.01E+12,2015年建成,塔楼,1.88元/平米/月,上海永升物业管理有限公司,上海海际房地产有限公司,1栋,676户
仁德路67弄,(杨浦五角场)仁德路67弄,5.01E+12,1990年建成,板楼,0.8元/平米/月,自主物业,暂无信息,5栋,97户
敦化路2弄,(杨浦控江路)敦化路2弄,5.01E+12,1974年建成,板楼,暂无信息,暂无信息,暂无信息,12栋,251户
好世凤翔苑,(嘉定南翔)金通路1737弄,5.01E+12,2012年建成,板楼,2.95元/平米/月,上海锐翔上房物业管理有限公司,上海好世置业有限公司,32栋,1489户
眉州路474弄,(杨浦东外滩)眉州路474弄,5.01E+12,1993年建成,板楼,0.8元/平米/月,上海平凉物业管理有限公司,五指山水墨雨林置业有限公司,5栋,49户
洛场路300弄,(宝山大场镇)洛场路300弄,5.01E+12,1994年建成,板楼,0.8元/平米/月,上海乾溪物业管理有限公司,上海建乾房地产开发有限公司,25栋,300户
洛场路250弄,(宝山大场镇)洛场路250弄,5.01E+12,1994年建成,板楼,0.45元/平米/月,上海乾溪物业管理有限公司,上海乾溪置业总公司,6栋,108户
银山路187弄,(浦东金杨)银山路187弄,5.01E+12,1997年建成,板楼,0.8元/平米/月,上海陆家嘴双乐物业管理有限公司,锦和集团,2栋,24户
银山路185弄,(浦东金杨)银山路185弄,5.01E+12,1994年建成,板楼,0.8元/平米/月,上海兴晖物业管理有限公司,上海陆家嘴房产开发有限公司,5栋,60户
融创外滩188,"(虹口北外滩)商丘路399弄, 东余杭路333号",5.01E+12,2000年建成,板楼,8.3元/平米/月,绿城物业,上海融绿启威置业有限公司,5栋,217户
滨江晶典,(杨浦东外滩)惠民路1018弄,5.01E+12,2011年建成,板楼,1.76元/平米/月,上汽物业,上海尚发房地产发展有限公司,7栋,316户
苏家巷小区,(静安不夜城)芷江西路393弄,5.01E+12,1982年建成,板楼,0.86元/平米/月,上海北方物业管理有限公司,上海苏家巷房地产有限公司,28栋,758户
芷江西路254号,(静安不夜城)芷江西路254号,5.01E+12,1991年建成,塔楼,0.5元/平米/月,上海凯兴物业管理有限公司,暂无信息,1栋,70户
平凉路627弄,(杨浦东外滩)平凉路627弄,5.01E+12,1975年建成,板楼,1.1元/平米/月,暂无信息,暂无信息,6栋,238户
尚海郦景,(浦东源深)桃林路299弄,5.01E+12,2017年建成,板楼,6.5元/平米/月,上海新古北物业管理有限公司,上海地产（集团）有限公司,42栋,1743户
香山新村西北街坊,"(浦东金杨)德平路1066弄,灵山路1671弄",5.01E+12,1996年建成,板楼,0.35至0.8元/平米/月,上海欣城物业有限公司,上海宏胜集团,115栋,1470户
昆山小区,(虹口北外滩)昆山路103弄,5.01E+12,1980年建成,板楼,暂无信息,新城物业,未知,6栋,85户
奔腾新干线,(静安西藏北路)宝山路450弄17号,5.01E+12,2003年建成,塔楼,2.48元/平米/月,上海不夜城全兴物业管理有限公司,上海三宝花苑房产开发公司,1栋,640户
北石路124号,(普陀真如)北石路124号,5.01E+12,1986年建成,板楼,0.65元/平米/月,上海真中物业管理有限公司,真如房地产公司,1栋,35户
