Raw Data,Trim,First /,Second /,Third /,Section,First >,Second <,Section in Chinese,District,District in Chinese
"                                      <a href=""/ershoufang/beicai/"">北蔡</a>","<a href=""/ershoufang/beicai/"">北蔡</a>",10,21,28,beicai,30,33,北蔡,Pudong,浦东
"                                      <a href=""/ershoufang/biyun/"">碧云</a>","<a href=""/ershoufang/biyun/"">碧云</a>",10,21,27,biyun,29,32,碧云,Pudong,浦东
"                                      <a href=""/ershoufang/caolu/"">曹路</a>","<a href=""/ershoufang/caolu/"">曹路</a>",10,21,27,caolu,29,32,曹路,Pudong,浦东
"                                      <a href=""/ershoufang/chuansha/"">川沙</a>","<a href=""/ershoufang/chuansha/"">川沙</a>",10,21,30,chuansha,32,35,川沙,Pudong,浦东
"                                      <a href=""/ershoufang/datuanzhen/"">大团镇</a>","<a href=""/ershoufang/datuanzhen/"">大团镇</a>",10,21,32,datuanzhen,34,38,大团镇,Pudong,浦东
"                                      <a href=""/ershoufang/gaodong/"">高东</a>","<a href=""/ershoufang/gaodong/"">高东</a>",10,21,29,gaodong,31,34,高东,Pudong,浦东
"                                      <a href=""/ershoufang/gaohang/"">高行</a>","<a href=""/ershoufang/gaohang/"">高行</a>",10,21,29,gaohang,31,34,高行,Pudong,浦东
"                                      <a href=""/ershoufang/geqing/"">合庆</a>","<a href=""/ershoufang/geqing/"">合庆</a>",10,21,28,geqing,30,33,合庆,Pudong,浦东
"                                      <a href=""/ershoufang/hangtou/"">航头</a>","<a href=""/ershoufang/hangtou/"">航头</a>",10,21,29,hangtou,31,34,航头,Pudong,浦东
"                                      <a href=""/ershoufang/huamu/"">花木</a>","<a href=""/ershoufang/huamu/"">花木</a>",10,21,27,huamu,29,32,花木,Pudong,浦东
"                                      <a href=""/ershoufang/huinan/"">惠南</a>","<a href=""/ershoufang/huinan/"">惠南</a>",10,21,28,huinan,30,33,惠南,Pudong,浦东
"                                      <a href=""/ershoufang/jinqiao/"">金桥</a>","<a href=""/ershoufang/jinqiao/"">金桥</a>",10,21,29,jinqiao,31,34,金桥,Pudong,浦东
"                                      <a href=""/ershoufang/jinyang/"">金杨</a>","<a href=""/ershoufang/jinyang/"">金杨</a>",10,21,29,jinyang,31,34,金杨,Pudong,浦东
"                                      <a href=""/ershoufang/kangqiao/"">康桥</a>","<a href=""/ershoufang/kangqiao/"">康桥</a>",10,21,30,kangqiao,32,35,康桥,Pudong,浦东
"                                      <a href=""/ershoufang/laogangzhen/"">老港镇</a>","<a href=""/ershoufang/laogangzhen/"">老港镇</a>",10,21,33,laogangzhen,35,39,老港镇,Pudong,浦东
"                                      <a href=""/ershoufang/lianyang/"">联洋</a>","<a href=""/ershoufang/lianyang/"">联洋</a>",10,21,30,lianyang,32,35,联洋,Pudong,浦东
"                                      <a href=""/ershoufang/lingangxincheng/"">临港新城</a>","<a href=""/ershoufang/lingangxincheng/"">临港新城</a>",10,21,37,lingangxincheng,39,44,临港新城,Pudong,浦东
"                                      <a href=""/ershoufang/lujiazui/"">陆家嘴</a>","<a href=""/ershoufang/lujiazui/"">陆家嘴</a>",10,21,30,lujiazui,32,36,陆家嘴,Pudong,浦东
"                                      <a href=""/ershoufang/nanmatou/"">南码头</a>","<a href=""/ershoufang/nanmatou/"">南码头</a>",10,21,30,nanmatou,32,36,南码头,Pudong,浦东
"                                      <a href=""/ershoufang/nichengzhen/"">泥城镇</a>","<a href=""/ershoufang/nichengzhen/"">泥城镇</a>",10,21,33,nichengzhen,35,39,泥城镇,Pudong,浦东
"                                      <a href=""/ershoufang/sanlin/"">三林</a>","<a href=""/ershoufang/sanlin/"">三林</a>",10,21,28,sanlin,30,33,三林,Pudong,浦东
"                                      <a href=""/ershoufang/shibo/"">世博</a>","<a href=""/ershoufang/shibo/"">世博</a>",10,21,27,shibo,29,32,世博,Pudong,浦东
"                                      <a href=""/ershoufang/shuyuanzhen/"">书院镇</a>","<a href=""/ershoufang/shuyuanzhen/"">书院镇</a>",10,21,33,shuyuanzhen,35,39,书院镇,Pudong,浦东
"                                      <a href=""/ershoufang/tangqiao/"">塘桥</a>","<a href=""/ershoufang/tangqiao/"">塘桥</a>",10,21,30,tangqiao,32,35,塘桥,Pudong,浦东
"                                      <a href=""/ershoufang/tangzhen/"">唐镇</a>","<a href=""/ershoufang/tangzhen/"">唐镇</a>",10,21,30,tangzhen,32,35,唐镇,Pudong,浦东
"                                      <a href=""/ershoufang/waigaoqiao/"">外高桥</a>","<a href=""/ershoufang/waigaoqiao/"">外高桥</a>",10,21,32,waigaoqiao,34,38,外高桥,Pudong,浦东
"                                      <a href=""/ershoufang/wanxiangzhen/"">万祥镇</a>","<a href=""/ershoufang/wanxiangzhen/"">万祥镇</a>",10,21,34,wanxiangzhen,36,40,万祥镇,Pudong,浦东
"                                      <a href=""/ershoufang/weifang/"">潍坊</a>","<a href=""/ershoufang/weifang/"">潍坊</a>",10,21,29,weifang,31,34,潍坊,Pudong,浦东
"                                      <a href=""/ershoufang/xinchang/"">新场</a>","<a href=""/ershoufang/xinchang/"">新场</a>",10,21,30,xinchang,32,35,新场,Pudong,浦东
"                                      <a href=""/ershoufang/xuanqiao/"">宣桥</a>","<a href=""/ershoufang/xuanqiao/"">宣桥</a>",10,21,30,xuanqiao,32,35,宣桥,Pudong,浦东
"                                      <a href=""/ershoufang/yangdong/"">杨东</a>","<a href=""/ershoufang/yangdong/"">杨东</a>",10,21,30,yangdong,32,35,杨东,Pudong,浦东
"                                      <a href=""/ershoufang/yangjing/"">洋泾</a>","<a href=""/ershoufang/yangjing/"">洋泾</a>",10,21,30,yangjing,32,35,洋泾,Pudong,浦东
"                                      <a href=""/ershoufang/yuanshen/"">源深</a>","<a href=""/ershoufang/yuanshen/"">源深</a>",10,21,30,yuanshen,32,35,源深,Pudong,浦东
"                                      <a href=""/ershoufang/yuqiao1/"">御桥</a>","<a href=""/ershoufang/yuqiao1/"">御桥</a>",10,21,29,yuqiao1,31,34,御桥,Pudong,浦东
"                                      <a href=""/ershoufang/zhangjiang/"">张江</a>","<a href=""/ershoufang/zhangjiang/"">张江</a>",10,21,32,zhangjiang,34,37,张江,Pudong,浦东
"                                      <a href=""/ershoufang/zhoupu/"">周浦</a>","<a href=""/ershoufang/zhoupu/"">周浦</a>",10,21,28,zhoupu,30,33,周浦,Pudong,浦东
"                                      <a href=""/ershoufang/zhuqiao/"">祝桥</a>","<a href=""/ershoufang/zhuqiao/"">祝桥</a>",10,21,29,zhuqiao,31,34,祝桥,Pudong,浦东
"                                      <a href=""/ershoufang/chunshen/"">春申</a>","<a href=""/ershoufang/chunshen/"">春申</a>",10,21,30,chunshen,32,35,春申,Minhang,闵行
"                                      <a href=""/ershoufang/gumei/"">古美</a>","<a href=""/ershoufang/gumei/"">古美</a>",10,21,27,gumei,29,32,古美,Minhang,闵行
"                                      <a href=""/ershoufang/hanghua/"">航华</a>","<a href=""/ershoufang/hanghua/"">航华</a>",10,21,29,hanghua,31,34,航华,Minhang,闵行
"                                      <a href=""/ershoufang/huacao/"">华漕</a>","<a href=""/ershoufang/huacao/"">华漕</a>",10,21,28,huacao,30,33,华漕,Minhang,闵行
"                                      <a href=""/ershoufang/jinganxincheng/"">静安新城</a>","<a href=""/ershoufang/jinganxincheng/"">静安新城</a>",10,21,36,jinganxincheng,38,43,静安新城,Minhang,闵行
"                                      <a href=""/ershoufang/jinhongqiao/"">金虹桥</a>","<a href=""/ershoufang/jinhongqiao/"">金虹桥</a>",10,21,33,jinhongqiao,35,39,金虹桥,Minhang,闵行
"                                      <a href=""/ershoufang/jinhui/"">金汇</a>","<a href=""/ershoufang/jinhui/"">金汇</a>",10,21,28,jinhui,30,33,金汇,Minhang,闵行
"                                      <a href=""/ershoufang/laominhang/"">老闵行</a>","<a href=""/ershoufang/laominhang/"">老闵行</a>",10,21,32,laominhang,34,38,老闵行,Minhang,闵行
"                                      <a href=""/ershoufang/longbai/"">龙柏</a>","<a href=""/ershoufang/longbai/"">龙柏</a>",10,21,29,longbai,31,34,龙柏,Minhang,闵行
"                                      <a href=""/ershoufang/maqiao/"">马桥</a>","<a href=""/ershoufang/maqiao/"">马桥</a>",10,21,28,maqiao,30,33,马桥,Minhang,闵行
"                                      <a href=""/ershoufang/meilong/"">梅陇</a>","<a href=""/ershoufang/meilong/"">梅陇</a>",10,21,29,meilong,31,34,梅陇,Minhang,闵行
"                                      <a href=""/ershoufang/pujiang1/"">浦江</a>","<a href=""/ershoufang/pujiang1/"">浦江</a>",10,21,30,pujiang1,32,35,浦江,Minhang,闵行
"                                      <a href=""/ershoufang/qibao/"">七宝</a>","<a href=""/ershoufang/qibao/"">七宝</a>",10,21,27,qibao,29,32,七宝,Minhang,闵行
"                                      <a href=""/ershoufang/wujing/"">吴泾</a>","<a href=""/ershoufang/wujing/"">吴泾</a>",10,21,28,wujing,30,33,吴泾,Minhang,闵行
"                                      <a href=""/ershoufang/xinzhuang5/"">莘庄</a>","<a href=""/ershoufang/xinzhuang5/"">莘庄</a>",10,21,32,xinzhuang5,34,37,莘庄,Minhang,闵行
"                                      <a href=""/ershoufang/zhuanqiao/"">颛桥</a>","<a href=""/ershoufang/zhuanqiao/"">颛桥</a>",10,21,31,zhuanqiao,33,36,颛桥,Minhang,闵行
"                                      <a href=""/ershoufang/dachangzhen/"">大场镇</a>","<a href=""/ershoufang/dachangzhen/"">大场镇</a>",10,21,33,dachangzhen,35,39,大场镇,Baoshan,宝山
"                                      <a href=""/ershoufang/dahua/"">大华</a>","<a href=""/ershoufang/dahua/"">大华</a>",10,21,27,dahua,29,32,大华,Baoshan,宝山
"                                      <a href=""/ershoufang/gaojing/"">高境</a>","<a href=""/ershoufang/gaojing/"">高境</a>",10,21,29,gaojing,31,34,高境,Baoshan,宝山
"                                      <a href=""/ershoufang/gongfu/"">共富</a>","<a href=""/ershoufang/gongfu/"">共富</a>",10,21,28,gongfu,30,33,共富,Baoshan,宝山
"                                      <a href=""/ershoufang/gongkang/"">共康</a>","<a href=""/ershoufang/gongkang/"">共康</a>",10,21,30,gongkang,32,35,共康,Baoshan,宝山
"                                      <a href=""/ershoufang/gucun/"">顾村</a>","<a href=""/ershoufang/gucun/"">顾村</a>",10,21,27,gucun,29,32,顾村,Baoshan,宝山
