Community,Distance centre,Distance shop
南方城,13.07008934,7.700184438
欧风花都,12.38773411,6.876745849
新时代景庭,11.57567347,6.121673061
新梅广场,14.71750607,9.333746854
春江锦庐,13.96386053,8.501803163
景和茗苑,14.46504768,9.077395811
金领华庭,11.93417051,6.580361218
宝城大厦,11.54234339,6.211849849
同济融创玫瑰公馆,54.81060037,49.29952162
虹莘家园,14.28350107,8.814115699
万源城朗郡,11.81595135,6.323861581
古美三村,12.19192319,6.794459971
春意苑,14.3021049,8.857087013
东苑绿世界花园(二期),14.14987304,8.781330551
和润家园(公寓),18.58553779,12.33489256
古美七村,11.61037315,6.263675144
古美六村,11.79332977,6.426516417
平吉二村,13.15192035,7.644435545
东兰小区,10.92089037,5.430691982
东兰雅苑,12.80117168,7.290679326
鸿发家园,14.18227283,8.725252455
万源城逸郡,12.10722026,6.628184658
龙祥嘉园(公寓),14.03230344,8.551095428
东苑绿世界花园(三期),14.14987304,8.781330551
仲义苑,14.14539933,8.676299365
成亿家园,11.85809691,6.450343373
望族新苑,12.62270308,7.19937026
阳光乾城苑(公寓),13.09503802,7.636714342
上海花园(公寓),1.921960061,2.217698599
新园大楼,11.43205609,5.934779151
东兰世茗雅苑,12.80117168,7.290679326
东苑佳佳花园,14.16787283,8.771783005
平阳一村,13.83970521,8.350461646
金梅公寓,11.55925648,6.232647349
万源城御璄,12.18360398,6.68221486
半岛豪门(公寓),13.95951471,8.462531062
南方公寓,13.14283511,7.743429185
望族新城,11.71758371,6.290992513
东兰兴城(惠兰苑),12.03472868,6.528864669
东兰兴城(玉兰苑),12.29194472,6.785898
平阳二村,13.08026959,7.608835639
古美公寓,11.9493029,6.576888724
东兰兴城(木兰苑),12.04263297,6.534529439
平阳苑,13.94162527,8.465700312
和嘉公寓,11.56116223,6.052672843
梅莲苑,10.59351468,5.095855151
万源城御溪(别墅),12.39327386,6.904400927
上海花园(别墅),12.58653367,7.258313613
锦隆别墅,12.32126179,6.994283823
阳光乾城苑(别墅),13.09503802,7.636714342
东苑半岛花园(别墅),13.40166322,7.904448156
万源城御溪(公寓),12.39327386,6.904400927
东苑古龙城(别墅),11.10684084,5.650481202
半岛豪门(别墅),13.95951471,8.462531062
风荷云墅(别墅),12.51093084,7.071481111
华城广场,10.8053184,5.295906025
莘光苑,14.33853141,8.936922663
东兰路37弄,10.72510812,5.241500643
古龙苑,11.92598255,6.483958072
嘉丰新苑,13.26123289,8.032879133
新明星花园,12.96942895,7.665181162
七韵美地苑,13.63454604,8.425207858
航华四村,12.91934772,7.71157457
航华一村,13.38871258,8.049052171
航东路750弄,12.90435636,7.499235213
小桥里,13.80671825,8.517660011
航华二村二街坊,13.58500604,8.310501759
丹桂花园,13.19439635,7.893805333
航华三村四街坊,14.07590911,8.856319126
春之苑,12.90955301,7.572117811
航华二村嘉丰公寓,13.58864468,8.267553003
鸿禧花园,12.78822695,7.505772932
华景花苑,12.78478121,7.536820475
广达新苑,14.2766124,9.029876136
永兴小区,51.94550973,45.65275405
三佳苑,13.85985501,8.655660652
丹桂南苑,13.31181985,8.041217986
航华二村信利苑,13.88597821,8.565971144
嘉丰花苑,13.06727799,7.843320018
航华二村春晖小区,14.12593051,8.889290842
复泰华庭,13.8349011,8.506259972
华菁公寓,12.77437797,7.358299067
航华三村一街坊,13.61466854,8.364807878
航华二村京润花园,13.86343317,8.585992699
航华三村三街坊,14.04048267,8.793029593
沪光小区,0.206880041,1.311532513
航华二村驰骋小区,13.9555851,8.641749646
航华二村梧柏小区,13.70151668,8.382976474
航新路260弄,13.9305815,8.606028379
景丽苑,14.00461768,8.726003642
晟虹新景苑,13.39538159,7.982574636
馥华苑,3.955104921,4.083064167
沪江新苑,13.58534366,8.197763513
西郊九韵城,17.30362148,11.40626938
西郊景平苑,17.70416886,11.73945147
金丰小区,18.53951697,12.67737651
金臣汇,19.93137686,14.09702481
爱博五村,16.13096372,10.21157574
上海香港花园,17.04483663,11.25502078
虹桥晶邸,17.51316791,11.61996834
万科兰乔圣菲,19.23468046,13.38191393
爱博四村,16.39337514,10.49701712
九方家园,17.98924882,12.12429961
富力虹桥十号,13.85408177,7.878353291
西郊庄园马德里洋房,17.99697896,12.21128497
西郊河畔家园,17.77224441,11.87045555
爱博二村,16.39413188,10.5702178
美邻苑,18.65113577,12.83587963
紫薇新村,17.25908006,11.47132001
